# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.getArtifacts.ms,1736239154588000000,1736239214609000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1736239154588000000,1736239214609000000,0
MappedFileStorage.storages,1736239154588000000,1736239214609000000,15
FilePageCacheLockFree.totalBytesWritten,1736239154588000000,1736239214609000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1736239154588000000,1736239214609000000,0
FilePageCacheLockFree.totalPagesReclaimed,1736239154588000000,1736239214609000000,0
FilePageCache.pageLoads,1736239154588000000,1736239214609000000,247
FilePageCacheLockFree.totalPagesReadMs,1736239154588000000,1736239214609000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1736239154588000000,1736239214609000000,0
FilePageCache.pageHits,1736239154588000000,1736239214609000000,18
FilePageCacheLockFree.nativeBytesInUse,1736239154588000000,1736239214609000000,0
FilePageCacheLockFree.totalPagesHandedOver,1736239154588000000,1736239214609000000,0
FilePageCache.pageFastCacheHits,1736239154588000000,1736239214609000000,16807
FilePageCacheLockFree.totalClosedStoragesReclaimed,1736239154588000000,1736239214609000000,0
FilePageCache.uncachedFileAccess,1736239154588000000,1736239214609000000,159
FileChannelInterruptsRetryer.totalRetriedAttempts,1736239154588000000,1736239214609000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1736239154588000000,1736239214609000000,0
FilePageCache.maxRegisteredFiles,1736239154588000000,1736239214609000000,547
StreamlinedBlobStorage.recordsAllocated,1736239154588000000,1736239214609000000,78722
DirectByteBufferAllocator.reclaimed,1736239154588000000,1736239214609000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1736239154588000000,1736239214609000000,253771776
FilePageCache.totalPageLoadsUs,1736239154588000000,1736239214609000000,768425
StorageLockContext.competingThreads.max,1736239154588000000,1736239214609000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1736239154588000000,1736239214609000000,0
DirectByteBufferAllocator.disposed,1736239154588000000,1736239214609000000,0
FilePageCache.totalPageDisposalsUs,1736239154588000000,1736239214609000000,4600
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1736239154588000000,1736239214609000000,1079725
